Concat,ZScore_Index,MaxMin_Index,0Percent,Concat2,Indexish,ZScore_Index,MaxMin_Index,NAPercent,GTAP_Region,CLUM_category,year
2007South Central AfricaHousing,0,0,100,2007Trinidad and TobagoGovernment,1076,0.262688745,0.222432896,18.18181818,Trinidad and Tobago,Government,2007
2007South Central AfricaPersonal Transportation,-1.828196708,0.497208725,33.33333333,2007Trinidad and TobagoPersonal Transportation,1742,-0.149602278,0.000389547,33.33333333,Trinidad and Tobago,Personal Transportation,2007
2007South Central AfricaGoods,0,0,0,2007Trinidad and TobagoServices,1409,0.068337453,0.494089972,0,Trinidad and Tobago,Services,2007
2007South Central AfricaServices,-0.724116672,0.307335972,28.01902733,2011Trinidad and TobagoFood,744,-0.410808883,0.150192117,0,Trinidad and Tobago,Food,2011
2007South Central AfricaGross Fixed Capital Formation,0,0,0,2011Trinidad and TobagoGovernment,1077,0.244751015,0.242911473,27.27272727,Trinidad and Tobago,Government,2011
2007South Central AfricaGovernment,-0.692992059,0.125412899,20.37747442,2011Trinidad and TobagoPersonal Transportation,1743,-0.141894928,0.000941909,33.33333333,Trinidad and Tobago,Personal Transportation,2011
2007EthiopiaFood,-0.315958903,0.159009912,0,2011Trinidad and TobagoServices,1410,-0.086640188,0.312459504,50,Trinidad and Tobago,Services,2011
2007EthiopiaHousing,0,0,100,2004TunisiaFood,736,0.398274121,0.20966087,0,Tunisia,Food,2004
2007EthiopiaPersonal Transportation,-0.747587671,0.370765004,0,2004TunisiaGovernment,1069,0.367619391,0.274897205,9.090909091,Tunisia,Government,2004
2007EthiopiaGoods,0,0,0,2004TunisiaPersonal Transportation,1735,-0.145324614,0.000696114,33.33333333,Tunisia,Personal Transportation,2004
2007EthiopiaServices,-0.618310689,0.404896279,12.5,2004TunisiaServices,1402,0.034656333,0.503727276,12.5,Tunisia,Services,2004
2007EthiopiaGross Fixed Capital Formation,0,0,0,2007TunisiaFood,737,0.5997415,0.227185022,0,Tunisia,Food,2007
2007EthiopiaGovernment,-0.221191865,0.25711334,18.18181818,2007TunisiaGovernment,1070,0.350664567,0.273129732,9.090909091,Tunisia,Government,2007
2007KenyaFood,-0.23662569,0.165909347,0,2007TunisiaPersonal Transportation,1736,-0.144750636,0.000737249,33.33333333,Tunisia,Personal Transportation,2007
2007KenyaHousing,0,0,100,2007TunisiaServices,1403,0.048109467,0.509562413,12.5,Tunisia,Services,2007
2007KenyaPersonal Transportation,-0.136779544,0.422284782,0,2011TunisiaFood,738,0.780162674,0.240886709,0,Tunisia,Food,2011
2007KenyaGoods,0,0,0,2011TunisiaGovernment,1071,0.197776388,0.294132716,9.090909091,Tunisia,Government,2011
2007KenyaServices,-0.630580666,0.3029112,12.5,2011TunisiaPersonal Transportation,1737,0.162328816,0.447513071,0,Tunisia,Personal Transportation,2011
2007KenyaGross Fixed Capital Formation,0,0,0,2011TunisiaServices,1404,0.169064868,0.450614806,25,Tunisia,Services,2011
2007KenyaGovernment,-0.431099433,0.177263721,18.18181818,2004TurkeyFood,739,0.417131375,0.213668721,0,Turkey,Food,2004
2007MadagascarFood,-0.189093835,0.171036531,0,2004TurkeyGovernment,1072,-0.44331404,0.213108346,0,Turkey,Government,2004
2007MadagascarHousing,0,0,100,2004TurkeyPersonal Transportation,1738,-0.626230429,0.380623355,0,Turkey,Personal Transportation,2004
2007MadagascarPersonal Transportation,-0.082169989,0.426963845,0,2004TurkeyServices,1405,0.163829521,0.527442493,12.5,Turkey,Services,2004
2007MadagascarGoods,0,0,0,2007TurkeyFood,740,1.347586622,0.283910468,0,Turkey,Food,2007
2007MadagascarServices,-0.85445164,0.27822132,12.5,2007TurkeyGovernment,1073,-0.177279148,0.229659503,9.090909091,Turkey,Government,2007
2007MadagascarGross Fixed Capital Formation,0,0,0,2007TurkeyPersonal Transportation,1739,-0.321878302,0.406029268,0,Turkey,Personal Transportation,2007
2007MadagascarGovernment,-0.430298064,0.192142911,9.090909091,2007TurkeyServices,1406,0.183183538,0.536032335,12.5,Turkey,Services,2007
2007MalawiFood,0.254699232,0.208494977,0,2011TurkeyFood,741,3.368575182,0.438798762,0,Turkey,Food,2011
2007MalawiHousing,0,0,100,2011TurkeyGovernment,1074,-0.007890245,0.257730364,9.090909091,Turkey,Government,2011
2007MalawiPersonal Transportation,0.025983292,0.436104123,0,2011TurkeyPersonal Transportation,1740,-0.021605365,0.430391486,0,Turkey,Personal Transportation,2011
2007MalawiGoods,0,0,0,2011TurkeyServices,1407,0.183746755,0.538311326,12.5,Turkey,Services,2011
2007MalawiServices,-0.502221911,0.416879741,12.5,2004UgandaFood,748,-0.413803665,0.15053954,0,Uganda,Food,2004
2007MalawiGross Fixed Capital Formation,0,0,0,2004UgandaGovernment,1081,-1.61112829,0.126282877,9.090909091,Uganda,Government,2004
2007MalawiGovernment,-0.306201342,0.197574841,18.18181818,2004UgandaPersonal Transportation,1747,-0.07210085,0.427831602,0,Uganda,Personal Transportation,2004
2007MauritiusFood,0.412872168,0.227313343,0,2004UgandaServices,1414,-1.555641055,0.290523846,37.5,Uganda,Services,2004
2007MauritiusHousing,0,0,100,2007UgandaFood,749,-0.337825391,0.157001703,0,Uganda,Food,2007
2007MauritiusPersonal Transportation,0.188347893,0.449768139,0,2007UgandaGovernment,1082,-0.20854831,0.21002915,18.18181818,Uganda,Government,2007
2007MauritiusGoods,0,0,0,2007UgandaPersonal Transportation,1748,-0.00360344,0.433610725,0,Uganda,Personal Transportation,2007
2007MauritiusServices,-0.119527176,0.470763835,0,2007UgandaServices,1415,-0.954500659,0.267162609,12.5,Uganda,Services,2007
2007MauritiusGross Fixed Capital Formation,0,0,0,2011UgandaFood,750,-0.25935678,0.16431667,0,Uganda,Food,2011
2007MauritiusGovernment,0.122356566,0.299243742,0,2011UgandaGovernment,1083,-0.189008522,0.154518811,9.090909091,Uganda,Government,2011
2007MozambiqueFood,-0.383018369,0.152375666,0,2011UgandaPersonal Transportation,1749,-0.154328842,5.08E-05,33.33333333,Uganda,Personal Transportation,2011
2007MozambiqueHousing,0,0,100,2011UgandaServices,1416,-0.808816661,0.384577508,12.5,Uganda,Services,2011
2007MozambiquePersonal Transportation,-0.667106298,0.377614508,0,2004UkraineFood,745,-0.257367852,0.211628713,20,Ukraine,Food,2004
2007MozambiqueGoods,0,0,0,2004UkraineGovernment,1078,-0.09511572,0.285398137,9.090909091,Ukraine,Government,2004
2007MozambiqueServices,-0.964581022,0.362379642,12.5,2004UkrainePersonal Transportation,1744,0.06900942,0.439669442,0,Ukraine,Personal Transportation,2004
2007MozambiqueGross Fixed Capital Formation,0,0,0,2004UkraineServices,1411,0.528650214,0.553319057,25,Ukraine,Services,2004
2007MozambiqueGovernment,-0.381899772,0.202079504,18.18181818,2007UkraineFood,746,-0.435856928,0.195476455,20,Ukraine,Food,2007
2007RwandaFood,-0.362461434,0.154636987,0,2007UkraineGovernment,1079,0.001831235,0.277439974,0,Ukraine,Government,2007
2007RwandaHousing,0,0,0,2007UkrainePersonal Transportation,1745,0.098403899,0.442164409,0,Ukraine,Personal Transportation,2007
2007RwandaPersonal Transportation,0.405945532,0.889004047,33.33333333,2007UkraineServices,1412,0.432696911,0.551238451,0,Ukraine,Services,2007
2007RwandaGoods,0,0,0,2011UkraineFood,747,0.465435486,0.274442199,20,Ukraine,Food,2011
2007RwandaServices,-0.716585064,0.17654534,37.5,2011UkraineGovernment,1080,-0.029039471,0.277475363,0,Ukraine,Government,2011
2007RwandaGross Fixed Capital Formation,0,0,0,2011UkrainePersonal Transportation,1746,0.042300778,0.43731158,0,Ukraine,Personal Transportation,2011
2007RwandaGovernment,0.374747508,0.418617249,27.27272727,2011UkraineServices,1413,0.541228817,0.572174652,0,Ukraine,Services,2011
2007TanzaniaFood,-0.296794453,0.160606306,0,2004United Arab EmiratesFood,433,2.040572199,0.373157733,0,United Arab Emirates,Food,2004
2007TanzaniaHousing,0,0,100,2004United Arab EmiratesGovernment,766,-0.286272134,0.383401332,63.63636364,United Arab Emirates,Government,2004
2007TanzaniaPersonal Transportation,-0.15378188,0.00009,33.33333333,2004United Arab EmiratesPersonal Transportation,1432,-0.083370203,0.005136191,33.33333333,United Arab Emirates,Personal Transportation,2004
2007TanzaniaGoods,0,0.000246305,0,2004United Arab EmiratesServices,1099,-0.016461954,0.41653974,12.5,United Arab Emirates,Services,2004
2007TanzaniaServices,-1.072888018,0.131272632,25,2007United Arab EmiratesFood,434,1.818087954,0.35666527,0,United Arab Emirates,Food,2007
2007TanzaniaGross Fixed Capital Formation,0,0,0,2007United Arab EmiratesGovernment,767,0.554969012,0.540963774,63.63636364,United Arab Emirates,Government,2007
2007TanzaniaGovernment,-0.076754299,0.179422596,18.18181818,2007United Arab EmiratesPersonal Transportation,1433,NA,NA,100,United Arab Emirates,Personal Transportation,2007
2007UgandaFood,-0.337825391,0.157001703,0,2007United Arab EmiratesServices,1100,-0.217350737,0.387571679,12.5,United Arab Emirates,Services,2007
2007UgandaHousing,0,0,0,2011United Arab EmiratesFood,435,1.198720142,0.305417077,0,United Arab Emirates,Food,2011
2007UgandaPersonal Transportation,-0.00360344,0.433610725,0,2011United Arab EmiratesGovernment,768,0.389736212,0.406409584,54.54545455,United Arab Emirates,Government,2011
2007UgandaGoods,0,0,0,2011United Arab EmiratesPersonal Transportation,1434,0.097014187,0.01806377,33.33333333,United Arab Emirates,Personal Transportation,2011
2007UgandaServices,-0.954500659,0.267162609,12.5,2011United Arab EmiratesServices,1101,-0.033909231,0.486950127,0,United Arab Emirates,Services,2011
2007UgandaGross Fixed Capital Formation,0,0,0,2004United KingdomFood,544,0.371383489,0.270253929,20,United Kingdom,Food,2004
2007UgandaGovernment,-0.20854831,0.21002915,18.18181818,2004United KingdomGovernment,877,0.305089426,0.367571106,9.090909091,United Kingdom,Government,2004
2007ZambiaFood,-0.269361579,0.163856475,0,2004United KingdomPersonal Transportation,1543,0.406874115,0.465509293,0,United Kingdom,Personal Transportation,2004
2007ZambiaHousing,0,0,0,2004United KingdomServices,1210,0.303491762,0.486535835,12.5,United Kingdom,Services,2004
2007ZambiaPersonal Transportation,-0.154729449,0.0000221,33.33333333,2007United KingdomFood,545,0.279649744,0.261979303,20,United Kingdom,Food,2007
2007ZambiaGoods,0,0,0,2007United KingdomGovernment,878,0.394239245,0.382921432,9.090909091,United Kingdom,Government,2007
2007ZambiaServices,-0.428554909,0.435374063,12.5,2007United KingdomPersonal Transportation,1544,0.429728387,0.466942332,0,United Kingdom,Personal Transportation,2007
2007ZambiaGross Fixed Capital Formation,0,0,0,2007United KingdomServices,1211,0.486131758,0.532588407,12.5,United Kingdom,Services,2007
2007ZambiaGovernment,-0.651068863,0.112091861,27.27272727,2011United KingdomFood,546,0.495859654,0.280954797,20,United Kingdom,Food,2011
2007ZimbabweFood,-0.467663822,0.145379255,0,2011United KingdomGovernment,879,0.373083481,0.383478239,9.090909091,United Kingdom,Government,2011
2007ZimbabweHousing,0,0,0,2011United KingdomPersonal Transportation,1545,0.405349451,0.464567929,0,United Kingdom,Personal Transportation,2011
2007ZimbabwePersonal Transportation,-0.153762183,0.0000914,33.33333333,2011United KingdomServices,1212,0.657923036,0.565045741,12.5,United Kingdom,Services,2011
2007ZimbabweGoods,0,0,0,2004United States of AmericaFood,751,0.320780476,0.266224223,20,United States of America,Food,2004
2007ZimbabweServices,-0.841996518,0.143909758,50,2004United States of AmericaGovernment,1084,0.480849444,0.374656232,18.18181818,United States of America,Government,2004
2007ZimbabweGross Fixed Capital Formation,0,0,0,2004United States of AmericaPersonal Transportation,1750,1.847154723,0.568197832,0,United States of America,Personal Transportation,2004
2007ZimbabweGovernment,-0.283744132,0.173263264,54.54545455,2004United States of AmericaServices,1417,0.802675386,0.597609616,25,United States of America,Services,2004
2007Rest of Eastern AfricaFood,-0.424827836,0.181821346,24.06444898,2007United States of AmericaFood,752,0.393747637,0.272233404,20,United States of America,Food,2007
2007Rest of Eastern AfricaHousing,-1.52977633,0.172210794,88.00325975,2007United States of AmericaGovernment,1085,0.568413522,0.390127872,18.18181818,United States of America,Government,2007
2007Rest of Eastern AfricaPersonal Transportation,-1.330677772,0.473028123,26.21362286,2007United States of AmericaPersonal Transportation,1751,1.986919824,0.577884718,0,United States of America,Personal Transportation,2007
2007Rest of Eastern AfricaGoods,0,0,0,2007United States of AmericaServices,1418,1.006515062,0.638802776,25,United States of America,Services,2007
2007Rest of Eastern AfricaServices,-0.791914633,0.256699969,40.18854926,2011United States of AmericaFood,753,0.492578633,0.280766954,20,United States of America,Food,2011
2007Rest of Eastern AfricaGross Fixed Capital Formation,0,0,0,2011United States of AmericaGovernment,1086,0.352295014,0.37791177,9.090909091,United States of America,Government,2011
2007Rest of Eastern AfricaGovernment,-0.623739741,0.185327864,31.85909088,2011United States of AmericaPersonal Transportation,1752,1.966864142,0.576622216,0,United States of America,Personal Transportation,2011
2007BotswanaFood,-0.587340051,0.190203606,20,2011United States of AmericaServices,1419,0.836299206,0.588693412,12.5,United States of America,Services,2011
2007BotswanaHousing,0,0,100,2004UruguayFood,754,-0.04786192,0.182361734,0,Uruguay,Food,2004
2007BotswanaPersonal Transportation,0.108488061,0.443063267,0,2004UruguayGovernment,1087,1.293808643,0.398841698,9.090909091,Uruguay,Government,2004
2007BotswanaGoods,0,0,0,2004UruguayPersonal Transportation,1753,0.400925205,0.467727371,0,Uruguay,Personal Transportation,2004
2007BotswanaServices,-0.137182361,0.452105754,0,2004UruguayServices,1420,-0.268171247,0.385394708,12.5,Uruguay,Services,2004
2007BotswanaGross Fixed Capital Formation,0,0,0,2007UruguayFood,755,0.100654805,0.194634669,0,Uruguay,Food,2007
2007BotswanaGovernment,0.280596511,0.309608997,9.090909091,2007UruguayGovernment,1088,-0.099087805,0.247747294,9.090909091,Uruguay,Government,2007
2007NamibiaFood,-0.475850181,0.144224725,0,2007UruguayPersonal Transportation,1754,-0.001508332,0.433770218,0,Uruguay,Personal Transportation,2007
2007NamibiaHousing,0,0,100,2007UruguayServices,1421,0.119172276,0.510985801,0,Uruguay,Services,2007
2007NamibiaPersonal Transportation,0.222452993,0.452672762,0,2011UruguayFood,756,0.465290637,0.225440174,0,Uruguay,Food,2011
2007NamibiaGoods,0,0,0,2011UruguayGovernment,1089,-0.053706576,0.215046758,9.090909091,Uruguay,Government,2011
2007NamibiaServices,-0.530311596,0.417506364,12.5,2011UruguayPersonal Transportation,1755,NA,NA,100,Uruguay,Personal Transportation,2011
2007NamibiaGross Fixed Capital Formation,0,0,0,2011UruguayServices,1422,0.489419408,0.411928047,50,Uruguay,Services,2011
2007NamibiaGovernment,0.057150097,0.248912434,18.18181818,2004Venezuela (Bolivarian Republic of)Food,23,-0.313866333,0.160427839,0,Venezuela (Bolivarian Republic of),Food,2004
2007South AfricaFood,-0.013486171,0.183573219,0,2004Venezuela (Bolivarian Republic of)Goods,47,NA,NA,100,Venezuela (Bolivarian Republic of),Goods,2004
2007South AfricaHousing,0,0,0,2004Venezuela (Bolivarian Republic of)Government,71,0.009648705,0.243460185,9.090909091,Venezuela (Bolivarian Republic of),Government,2004
2007South AfricaPersonal Transportation,0.143287197,0.445597246,0,2004Venezuela (Bolivarian Republic of)Housing,95,-1.505261078,0.179410292,0,Venezuela (Bolivarian Republic of),Housing,2004
2007South AfricaGoods,0,0,0,2004Venezuela (Bolivarian Republic of)Personal Transportation,143,0.297068377,0.458824951,0,Venezuela (Bolivarian Republic of),Personal Transportation,2004
2007South AfricaServices,-1.076827117,0.138904854,25,2004Venezuela (Bolivarian Republic of)Services,119,0.02485017,0.532543136,25,Venezuela (Bolivarian Republic of),Services,2004
2007South AfricaGross Fixed Capital Formation,0,0,0,2007Venezuela (Bolivarian Republic of)Food,167,0.126657243,0.197731839,0,Venezuela (Bolivarian Republic of),Food,2007
2007South AfricaGovernment,0.401377245,0.342413077,0,2007Venezuela (Bolivarian Republic of)Goods,191,NA,NA,100,Venezuela (Bolivarian Republic of),Goods,2007
2007Rest of South African Customs UnionFood,-0.495013838,0.197079401,20,2007Venezuela (Bolivarian Republic of)Government,215,0.040107534,0.27498585,0,Venezuela (Bolivarian Republic of),Government,2007
2007Rest of South African Customs UnionHousing,0,0,100,2007Venezuela (Bolivarian Republic of)Housing,239,-1.491556088,0.183435095,0,Venezuela (Bolivarian Republic of),Housing,2007
2007Rest of South African Customs UnionPersonal Transportation,0.425276038,0.890635087,33.33333333,2007Venezuela (Bolivarian Republic of)Personal Transportation,287,0.256079843,0.455348939,0,Venezuela (Bolivarian Republic of),Personal Transportation,2007
2007Rest of South African Customs UnionGoods,0,0,0,2007Venezuela (Bolivarian Republic of)Services,263,0.076170845,0.549970605,25,Venezuela (Bolivarian Republic of),Services,2007
2007Rest of South African Customs UnionServices,-0.616389878,0.356536115,26.15371062,2011Venezuela (Bolivarian Republic of)Food,311,0.580666903,0.232286926,0,Venezuela (Bolivarian Republic of),Food,2011
2007Rest of South African Customs UnionGross Fixed Capital Formation,0,0,0,2011Venezuela (Bolivarian Republic of)Goods,335,NA,NA,100,Venezuela (Bolivarian Republic of),Goods,2011
2007Rest of South African Customs UnionGovernment,-0.13022873,0.210781832,14.87182773,2011Venezuela (Bolivarian Republic of)Government,359,0.100860345,0.265531939,9.090909091,Venezuela (Bolivarian Republic of),Government,2011
2007Rest of the WorldFood,0,0,0,2011Venezuela (Bolivarian Republic of)Housing,383,-1.473587879,0.188711895,0,Venezuela (Bolivarian Republic of),Housing,2011
2007Rest of the WorldHousing,0,0,0,2011Venezuela (Bolivarian Republic of)Personal Transportation,431,0.228698346,0.452967539,0,Venezuela (Bolivarian Republic of),Personal Transportation,2011
2007Rest of the WorldPersonal Transportation,0,0,0,2011Venezuela (Bolivarian Republic of)Services,407,0.261262054,0.58478588,25,Venezuela (Bolivarian Republic of),Services,2011
2007Rest of the WorldGoods,0,0,0,2004VietnamFood,24,-0.073132161,0.181978285,0,Vietnam,Food,2004
2007Rest of the WorldServices,0,0,0,2004VietnamGoods,48,NA,0.001573427,0,Vietnam,Goods,2004
2007Rest of the WorldGross Fixed Capital Formation,0,0,0,2004VietnamGovernment,72,0.223825922,0.190318301,18.18181818,Vietnam,Government,2004
2007Rest of the WorldGovernment,0,0,0,2004VietnamHousing,96,NA,NA,100,Vietnam,Housing,2004
2011AustraliaFood,-0.10918802,0.22310357,20,2004VietnamPersonal Transportation,144,-0.12975542,0.001811909,33.33333333,Vietnam,Personal Transportation,2004
2011AustraliaHousing,0.302407417,0.710276,0,2004VietnamServices,120,-0.316203768,0.25913859,25,Vietnam,Services,2004
2011AustraliaPersonal Transportation,0.162188558,0.022734611,33.33333333,2007VietnamFood,168,0.108719713,0.197705842,0,Vietnam,Food,2007
2011AustraliaGoods,0,0,0,2007VietnamGoods,192,NA,0.002387268,0,Vietnam,Goods,2007
2011AustraliaServices,0.407030198,0.566129012,37.5,2007VietnamGovernment,216,0.298121182,0.206722015,18.18181818,Vietnam,Government,2007
2011AustraliaGross Fixed Capital Formation,0,0,0,2007VietnamHousing,240,NA,NA,100,Vietnam,Housing,2007
2011AustraliaGovernment,0.369664528,0.311488295,18.18181818,2007VietnamPersonal Transportation,288,-0.119017355,0.002581472,33.33333333,Vietnam,Personal Transportation,2007
2011New ZealandFood,0.905106338,0.310740651,20,2007VietnamServices,264,-0.161109419,0.282247877,37.5,Vietnam,Services,2007
2011New ZealandHousing,0.465265321,0.758103175,0,2011VietnamFood,312,0.41614369,0.224437054,0,Vietnam,Food,2011
2011New ZealandPersonal Transportation,0.330656162,0.461378883,0,2011VietnamGoods,336,NA,0.007692308,0,Vietnam,Goods,2011
2011New ZealandGoods,0,0,0,2011VietnamGovernment,360,0.681089254,0.284449863,9.090909091,Vietnam,Government,2011
2011New ZealandServices,0.74146261,0.592147614,25,2011VietnamHousing,384,NA,NA,100,Vietnam,Housing,2011
2011New ZealandGross Fixed Capital Formation,0,0,0,2011VietnamPersonal Transportation,432,-0.072204492,0.005936402,33.33333333,Vietnam,Personal Transportation,2011
2011New ZealandGovernment,0.382838052,0.391982822,18.18181818,2011VietnamServices,408,0.10380991,0.492105545,0,Vietnam,Services,2011
2011Rest of OceaniaFood,0.302049375,0.258213218,18.72052986,2004ZambiaFood,760,-0.443770301,0.148516506,0,Zambia,Food,2004
2011Rest of OceaniaHousing,0,0,100,2004ZambiaGovernment,1093,-0.548731358,0.123087279,27.27272727,Zambia,Government,2004
2011Rest of OceaniaPersonal Transportation,-0.0585061,0.090364158,31.89407422,2004ZambiaPersonal Transportation,1759,-0.154788032,1.79E-05,33.33333333,Zambia,Personal Transportation,2004
2011Rest of OceaniaGoods,0,0,0,2004ZambiaServices,1426,-0.739788314,0.398471097,12.5,Zambia,Services,2004
2011Rest of OceaniaServices,-1.041284521,0.145613755,45.74325414,2007ZambiaFood,761,-0.269361579,0.163856475,0,Zambia,Food,2007
2011Rest of OceaniaGross Fixed Capital Formation,0,0,0,2007ZambiaGovernment,1094,-0.651068863,0.112091861,27.27272727,Zambia,Government,2007
2011Rest of OceaniaGovernment,-0.396077618,0.119806269,26.76779351,2007ZambiaPersonal Transportation,1760,-0.154729449,2.21E-05,33.33333333,Zambia,Personal Transportation,2007
2011ChinaFood,0.501668768,0.231464072,0,2007ZambiaServices,1427,-0.428554909,0.435374063,12.5,Zambia,Services,2007
2011ChinaHousing,-0.44390873,0.491102158,0,2011ZambiaFood,762,0.9708551,0.270034875,0,Zambia,Food,2011
2011ChinaPersonal Transportation,0.807587103,0.492762451,0,2011ZambiaGovernment,1095,-0.297071554,0.097134024,27.27272727,Zambia,Government,2011
2011ChinaGoods,0,0,0,2011ZambiaPersonal Transportation,1761,-0.153505583,0.00010981,33.33333333,Zambia,Personal Transportation,2011
2011ChinaServices,0.091683684,0.347163265,25,2011ZambiaServices,1428,-0.318539466,0.361270224,25,Zambia,Services,2011
2011ChinaGross Fixed Capital Formation,0,0,0,2004ZimbabweFood,763,-0.328381108,0.157698468,0,Zimbabwe,Food,2004
2011ChinaGovernment,0.421224598,0.297813481,9.090909091,2004ZimbabweGovernment,1096,-0.397266903,0.119316878,36.36363636,Zimbabwe,Government,2004
"2011Hong Kong, Special Administrative Region of ChinaFood",0,0,0,2004ZimbabwePersonal Transportation,1762,-0.153911193,8.07E-05,33.33333333,Zimbabwe,Personal Transportation,2004
"2011Hong Kong, Special Administrative Region of ChinaHousing",0,0,0,2004ZimbabweServices,1429,-0.845299468,0.143177098,50,Zimbabwe,Services,2004
"2011Hong Kong, Special Administrative Region of ChinaPersonal Transportation",0,0,0,2007ZimbabweFood,764,-0.467663822,0.145379255,0,Zimbabwe,Food,2007
"2011Hong Kong, Special Administrative Region of ChinaGoods",0,0,0,2007ZimbabweGovernment,1097,-0.283744132,0.173263264,54.54545455,Zimbabwe,Government,2007
"2011Hong Kong, Special Administrative Region of ChinaServices",0,0,0,2007ZimbabwePersonal Transportation,1763,-0.153762183,9.14E-05,33.33333333,Zimbabwe,Personal Transportation,2007
"2011Hong Kong, Special Administrative Region of ChinaGross Fixed Capital Formation",0,0,0,2007ZimbabweServices,1430,-0.841996518,0.143909758,50,Zimbabwe,Services,2007
"2011Hong Kong, Special Administrative Region of ChinaGovernment",0,0,0,2011ZimbabweFood,765,-0.582327459,0.135331783,0,Zimbabwe,Food,2011
2011JapanFood,0.155283728,0.250470439,20,2011ZimbabweGovernment,1098,-0.379264798,0.101182251,27.27272727,Zimbabwe,Government,2011
2011JapanHousing,1.278499923,0.996929245,0,2011ZimbabwePersonal Transportation,1764,-0.153639196,0.000100234,33.33333333,Zimbabwe,Personal Transportation,2011
2011JapanPersonal Transportation,0.361672197,0.46157651,0,2011ZimbabweServices,1431,-0.839936868,0.144400999,50,Zimbabwe,Services,2011
2011JapanGoods,0,0,0,,1999,NA,NA,100,Paraguay,Housing,2011
2011JapanServices,0.694245348,0.564777926,12.5,,2000,NA,NA,100,Paraguay,Housing,2007
2011JapanGross Fixed Capital Formation,0,0,0,,2001,NA,NA,100,Paraguay,Housing,2004
2011JapanGovernment,0.176960321,0.328907791,9.090909091,,2002,-1.23480757,0.258835526,0,Peru,Housing,2011
2011South KoreaFood,0.791021168,0.249968584,0,,2003,-1.375701782,0.217458523,0,Peru,Housing,2007
2011South KoreaHousing,1.128381786,0.952843412,0,,2004,-1.476170724,0.18795338,0,Peru,Housing,2004
2011South KoreaPersonal Transportation,0.193498674,0.448973545,0,,2005,NA,NA,100,Philippines,Housing,2011
2011South KoreaGoods,0,Inf,0,,2006,NA,NA,100,Philippines,Housing,2007
2011South KoreaServices,1.217760002,0.687942263,25,,2007,NA,NA,100,Philippines,Housing,2004
2011South KoreaGross Fixed Capital Formation,0,0,0,,2008,0.455216831,0.755152192,0,Poland,Housing,2011
2011South KoreaGovernment,0.49828908,0.361140201,18.18181818,,2009,0.39232523,0.736682547,0,Poland,Housing,2007
2011MongoliaFood,-0.055309592,0.181127426,0,,2010,0.345483102,0.72292622,0,Poland,Housing,2004
2011MongoliaHousing,0,0,100,,2011,-0.032584705,0.611897437,0,Portugal,Housing,2011
2011MongoliaPersonal Transportation,-0.152551231,0.000178205,33.33333333,,2012,-0.049920547,0.606806346,0,Portugal,Housing,2007
2011MongoliaGoods,0,0,0,,2013,-0.063407413,0.602845601,0,Portugal,Housing,2004
2011MongoliaServices,-0.262083588,0.361486572,12.5,,2014,-1.022908772,0.321064749,0,Puerto Rico,Housing,2011
2011MongoliaGross Fixed Capital Formation,0,0,0,,2015,-1.023361015,0.320931937,0,Puerto Rico,Housing,2007
2011MongoliaGovernment,-0.236458432,0.150852945,9.090909091,,2016,-1.023700198,0.320832327,0,Puerto Rico,Housing,2004
"2011Taiwan, Republic of ChinaFood",0,0,0,,2017,0.891249297,0.883203704,0,Qatar,Housing,2011
"2011Taiwan, Republic of ChinaHousing",0,0,0,,2018,0.886835236,0.881907407,0,Qatar,Housing,2007
"2011Taiwan, Republic of ChinaPersonal Transportation",0,0,0,,2019,0.88573172,0.881583333,0,Qatar,Housing,2004
"2011Taiwan, Republic of ChinaGoods",0,0,0,,2020,-0.389650055,0.507036534,0,Romania,Housing,2011
"2011Taiwan, Republic of ChinaServices",0,0,0,,2021,-0.554797627,0.458536943,0,Romania,Housing,2007
"2011Taiwan, Republic of ChinaGross Fixed Capital Formation",0,0,0,,2022,NA,NA,100,Romania,Housing,2004
"2011Taiwan, Republic of ChinaGovernment",0,0,0,,2023,NA,NA,100,Russian Federation,Housing,2011
2011Rest of East AsiaFood,-0.246230377,0.223561638,20,,2024,NA,NA,100,Russian Federation,Housing,2007
2011Rest of East AsiaHousing,0,0,100,,2025,NA,NA,100,Russian Federation,Housing,2004
2011Rest of East AsiaPersonal Transportation,-0.154644486,0.0000282,33.33333333,,2026,NA,NA,100,Rwanda,Housing,2011
2011Rest of East AsiaGoods,0,0,0,,2027,NA,NA,100,Rwanda,Housing,2007
2011Rest of East AsiaServices,-0.848812989,0.22688635,62.5,,2028,NA,NA,100,Rwanda,Housing,2004
2011Rest of East AsiaGross Fixed Capital Formation,0,0,0,,2029,0.693597093,0.825158339,0,Saudi Arabia,Housing,2011
2011Rest of East AsiaGovernment,0.039014638,0.355029274,63.63636364,,2030,0.412002797,0.742461342,0,Saudi Arabia,Housing,2007
2011Brunei DarussalamFood,0.651572501,0.23730225,0,,2031,0.197898406,0.679584394,0,Saudi Arabia,Housing,2004
2011Brunei DarussalamHousing,0,0,100,,2032,-1.35605173,0.223229237,0,Senegal,Housing,2011
2011Brunei DarussalamPersonal Transportation,0.081698962,0.440768367,0,,2033,-1.415266723,0.205839318,0,Senegal,Housing,2007
2011Brunei DarussalamGoods,0,0,0,,2034,-1.458784901,0.193059149,0,Senegal,Housing,2004
2011Brunei DarussalamServices,0.511245158,0.500789058,12.5,,2035,1.288956254,1,0,Singapore,Housing,2011
